,0
355,можно
356,сходить?
357,Доброе
358,утро.
359,У
360,тебя
361,все
362,получится
363,.
364,Исповедую
365,религию
366,обжорианство
367,🍔🍔🍔
368,Хочу
369,орать
370,и
371,скакать
372,на
373,концерте
374,Metallica
375,6
376,место.14
377,Где
378,то
379,полгода
380,назад
381,умер
382,мой
383,жесткий
384,диск
385,с
386,коллекцией
387,музыки
388,около
389,700ГБ.Потихоньку
390,начинаю
391,восстанавливать.
392,Хочу
393,с
394,вами
395,поделиться
396,своими
397,топами
398,по
399,песнями
400,и
401,группам
402,в
403,разрезе
404,месяцев.Если
405,вам
406,интересно
407,конечно.Можно
408,посм…
409,Кароч
410,я
411,наконец
412,то
413,выбрал
414,кольцо.
415,Достойный
416,выбор
417,Бомбический
418,соляк
419,красивую
420,цифру
421,я
422,конечно
423,же
424,проебал
425,Я
426,музыкальный
427,задрот.Трекаю
428,что
429,я
430,слушаю
431,на
432,@lastfm
433,
434,с
435,2011
436,года.В
437,2014
438,году
439,обнулил
440,статистику
441,зачем
442,то.Но
443,с
444,20…
445,Это
446,все
447,"хуйня,"
448,я
449,уснул
450,в
451,11
452,и
453,встал
454,в
455,пол
456,четвертого.Но
457,попытка
458,была
459,норм
460,@Bxaxaxax:
461,@pgolod
462,Этой
463,зимой
464,я
465,буду
466,рада
467,тому
468,что
469,я
470,хочу
471,сдохнуть
472,Спасибо
473,т9
474,самый
475,приветливый
476,тип
477,потом
478,вставит
479,тебе
480,Встать
481,в
482,субботу
483,в
484,семь
485,"утра,"
486,когда
487,ты
488,лег
489,в
490,пять
491,утра
492,не
493,так
494,уж
495,и
496,не
497,плохо
498,Мой
499,личный
500,10
501,топ
502,самых
503,прослушиваемых
504,треков
505,за
506,сентябрь
507,2021
508,года
509,Хочу
510,предложить
511,коллеге
512,начать
513,вести
514,и
515,продавать
516,курс
517,«Как
518,писать
519,запросы
520,что
521,бы
522,дожить
523,сервер
524,на
525,лопатки»
526,Этот
527,твит
528,специально
529,для
530,моей
531,девушки.
532,Которая
533,думает
534,что
535,я
536,ебобо
537,и
538,постоянно
539,сижу
540,в
541,Твиттере
542,до
543,утра.
544,Обнажаю
545,чувства
546,и
547,глотаю
548,сны
549,🥇1
550,место.30
551,жизнь
552,летит
553,так
554,"быстро,"
555,и
556,у
557,многих
558,по
559,пизде..
560,@hmmm_05
561,@huana_crrrrazy@for_publ1c
562,Вы
563,"кто,"
564,ебать
565,вас
566,за
567,ногу?
568,расплачусь
569,Пару
570,фоток
571,оттуда
572,Как
573,поводите
574,вечер
575,пятницы
576,мыслями
577,кричать
578,друг
579,другу
580,@Team__Spirit:
581,WE
582,ARE
583,THE
584,INTERNATIONAL
585,10
586,CHAMPIONS
587,🐉It
588,was
589,an
590,amazing
591,adventure.
592,We
593,thank
594,all
595,the
596,fans
597,for
598,your
599,support!
600,We
601,wouldn't…
602,Еще
603,39
604,треков
605,и
606,будет
607,200к
608,Семья
609,Моего
610,Твиттера:Родители:
611,@hmmm_05
612,@for_publ1cCупруг:
613,@Kanako32KanakoДети:
614,@para_be11um_
615,@huana_crrrrazyv…
616,У
617,меня
618,в
619,сейчас
620,в
621,библиотеке
622,587
623,любимых
624,треков.Готов
625,поделиться.Вы
626,в
627,реплай
628,отправляете
629,число
630,от
631,1
632,до
633,587.Я
634,вам…
635,Что
636,ты
637,так
638,все
639,поехали
640,на
641,сериале
642,про
643,кальмара.
644,Ну
645,или
646,как
647,там
648,его
649,Семья
650,Моего
651,Твиттера:Родители:
652,@uuummmrrriii
653,@hmmm_05Cупруг:
654,@mrrssblackДети:
655,@for_publ1c
656,@para_be11um_via…
657,@pgolod:
658,дарю
659,тебе
660,цветы
661,@pgolod:
662,Каеф
663,Скоро
664,будет
665,200к
666,прослушивание
667,на
668,@lastfm
669,ГОСПОДИ
670,ЧТО
671,ТВОРЯТ
672,TEAM
673,SPIRIT.GL
674,GRAND
675,FINAL
676,каким
677,же
678,лагучим
679,говно
680,стала
681,visual
682,studio
683,4
684,место.22
685,доброе
686,утро.
687,Единственная
688,от
689,меня
690,польза.Я
691,могу
692,кидать
693,музыку
694,интересную.
695,@pgolod:
696,Хочу
697,орать
698,и
699,скакать
700,на
701,концерте
702,Metallica
703,8-9
704,место.12
705,прослушиваний
706,15-23.Доброе
707,утро.Были
708,планы
709,много
710,дел
711,сделать.Все
712,проспал
713,А
714,вообще
715,за
716,сентябрь
717,я
718,послушал
719,3239
720,трека
721,@pgolod:
722,Достойный
723,выбор
724,дарю
725,тебе
726,цветы
727,чем
728,ближе
729,к
730,"пятнице,"
731,тем
732,желание
733,не
734,проснуться
735,⬆️⬆️⬆️
736,@pgolod:
737,Исповедую
738,религию
739,обжорианство
740,🍔🍔🍔
741,пью
742,пиво
743,с
744,рыбкой.
745,10
746,место.11
747,прослушиваний
